time,p_real_w,ghi,dni,dhi,t_amb,wind_kmh,cloud_cover,wind_ms,p_iso_w,p_perez_w
2026-03-20 00:00:00+00:00,0.0,0.0,0.0,0.0,-0.2,3.3,0,0.9166666666666666,0.0,0.0
2026-03-20 01:00:00+00:00,0.0,0.0,0.0,0.0,-0.9,3.6,0,1.0,0.0,0.0
2026-03-20 02:00:00+00:00,0.0,0.0,0.0,0.0,-0.9,1.5,0,0.4166666666666666,0.0,0.0
2026-03-20 03:00:00+00:00,0.0,0.0,0.0,0.0,-1.5,2.8,5,0.7777777777777777,0.0,0.0
2026-03-20 04:00:00+00:00,0.0,0.0,0.0,0.0,-2.0,4.3,35,1.1944444444444444,0.0,0.0
2026-03-20 05:00:00+00:00,474.9166666666667,0.0,0.0,0.0,-1.9,2.9,71,0.8055555555555555,0.0,0.0
2026-03-20 06:00:00+00:00,2634.4125,19.0,94.8,12.0,-1.4,3.4,30,0.9444444444444444,311.9999728223917,848.8358123512412
2026-03-20 07:00:00+00:00,4792.22,144.0,459.6,54.0,1.6,3.4,23,0.9444444444444444,2500.583724362944,3611.8360607105933
2026-03-20 08:00:00+00:00,6598.603611111111,307.0,654.9,78.0,5.2,2.2,21,0.6111111111111112,4569.886581777979,5080.448858944936
2026-03-20 09:00:00+00:00,8250.309444444445,455.0,757.0,92.0,8.9,2.2,6,0.6111111111111112,6420.467202402701,6881.07546087639
2026-03-20 10:00:00+00:00,9127.59,575.0,841.0,90.0,11.4,3.1,4,0.8611111111111112,7937.25206130177,8308.655346622496
2026-03-20 11:00:00+00:00,8238.6125,620.0,764.5,135.0,12.6,4.3,91,1.1944444444444444,8545.492042203758,8753.712066056187
2026-03-20 12:00:00+00:00,3169.480833333333,437.0,339.0,217.0,11.1,3.8,100,1.0555555555555556,6399.085803347242,6287.324718905138
2026-03-20 13:00:00+00:00,6608.743611111111,293.0,145.4,203.0,11.1,4.4,100,1.2222222222222223,4420.674387662474,4281.2627092234125
2026-03-20 14:00:00+00:00,2835.1469444444447,270.0,102.4,214.0,11.0,5.2,100,1.4444444444444444,4074.2774676019503,3913.405249520306
2026-03-20 15:00:00+00:00,1463.0202777777777,195.0,73.1,163.0,10.2,3.0,100,0.8333333333333333,3063.2323028645947,2956.9497559548604
2026-03-20 16:00:00+00:00,673.0955555555555,140.0,107.2,108.0,9.1,2.8,100,0.7777777777777777,2873.1873728709693,2496.1875170697035
2026-03-20 17:00:00+00:00,14.984444444444444,49.0,36.0,44.0,6.0,6.1,95,1.6944444444444442,11.106813072105135,1120.324267031139
2026-03-20 18:00:00+00:00,0.0,2.0,0.0,2.0,5.6,2.7,100,0.75,0.0,0.0
2026-03-20 19:00:00+00:00,0.0,0.0,0.0,0.0,5.9,6.6,100,1.8333333333333333,0.0,0.0
2026-03-20 20:00:00+00:00,0.0,0.0,0.0,0.0,5.7,7.8,100,2.1666666666666665,0.0,0.0
2026-03-20 21:00:00+00:00,0.0,0.0,0.0,0.0,5.4,8.5,100,2.361111111111111,0.0,0.0
2026-03-20 22:00:00+00:00,0.0,0.0,0.0,0.0,4.7,6.1,100,1.6944444444444442,0.0,0.0
2026-03-20 23:00:00+00:00,0.0,0.0,0.0,0.0,4.0,5.5,100,1.5277777777777777,0.0,0.0
2026-03-21 00:00:00+00:00,0.0,0.0,0.0,0.0,5.0,9.3,100,2.583333333333333,0.0,0.0
2026-03-21 01:00:00+00:00,0.0,0.0,0.0,0.0,5.1,8.3,100,2.305555555555556,0.0,0.0
2026-03-21 02:00:00+00:00,0.0,0.0,0.0,0.0,4.4,6.5,99,1.805555555555556,0.0,0.0
2026-03-21 03:00:00+00:00,0.0,0.0,0.0,0.0,3.7,7.4,98,2.055555555555556,0.0,0.0
2026-03-21 04:00:00+00:00,0.0,0.0,0.0,0.0,3.0,7.2,80,2.0,0.0,0.0
2026-03-21 05:00:00+00:00,137.4361111111111,0.0,0.0,0.0,2.1,5.3,55,1.472222222222222,0.0,0.0
2026-03-21 06:00:00+00:00,1089.9952777777778,14.0,52.0,10.0,2.0,7.0,12,1.9444444444444444,227.18894221879816,522.6230345482439
2026-03-21 07:00:00+00:00,2149.6669444444447,135.0,371.6,60.0,3.9,6.4,35,1.777777777777778,2272.2630481185693,3234.3480493829916
2026-03-21 08:00:00+00:00,2815.245555555556,273.0,481.0,102.0,5.8,5.0,69,1.3888888888888888,4120.233140419492,4509.8779148459025
2026-03-21 09:00:00+00:00,5308.1883333333335,394.0,548.1,128.0,7.8,6.6,99,1.8333333333333333,5765.93478378235,6067.9449575746
2026-03-21 10:00:00+00:00,5353.315555555556,299.0,214.7,174.0,8.1,9.1,98,2.5277777777777777,4559.876785916216,4556.149307687593
2026-03-21 11:00:00+00:00,4202.115555555555,460.0,267.3,289.0,9.3,10.8,100,3.0,6756.634303270759,6770.136749884228
2026-03-21 12:00:00+00:00,2718.516111111111,267.0,59.6,228.0,7.7,12.1,100,3.3611111111111107,4113.840261583906,3991.676316658091
2026-03-21 13:00:00+00:00,3077.048888888889,218.0,35.3,196.0,7.8,10.0,100,2.7777777777777777,3380.4926713900936,3275.896459732295
2026-03-21 14:00:00+00:00,3968.9155555555553,203.0,77.9,160.0,8.1,14.1,100,3.9166666666666665,3148.0574334821627,3000.6489906480015
2026-03-21 15:00:00+00:00,2965.239722222222,182.0,45.2,162.0,7.9,13.1,99,3.638888888888889,2876.4629385853327,2800.6158807542274
2026-03-21 16:00:00+00:00,1254.6430555555555,167.0,184.8,111.0,7.1,13.0,77,3.611111111111111,3673.9924693842277,2994.191810511732
2026-03-21 17:00:00+00:00,41.72888888888889,59.0,76.7,48.0,5.7,10.5,70,2.9166666666666665,13.388254326638704,1478.1828909278656
2026-03-21 18:00:00+00:00,0.0,4.0,0.0,4.0,4.7,10.9,83,3.0277777777777777,0.0,0.0
2026-03-21 19:00:00+00:00,0.0,0.0,0.0,0.0,4.2,11.7,51,3.25,0.0,0.0
2026-03-21 20:00:00+00:00,0.0,0.0,0.0,0.0,3.7,12.5,9,3.4722222222222223,0.0,0.0
2026-03-21 21:00:00+00:00,0.0,0.0,0.0,0.0,3.2,11.8,3,3.2777777777777777,0.0,0.0
2026-03-21 22:00:00+00:00,0.0,0.0,0.0,0.0,2.6,10.7,0,2.972222222222222,0.0,0.0
2026-03-21 23:00:00+00:00,0.0,0.0,0.0,0.0,2.2,11.0,0,3.055555555555556,0.0,0.0
2026-03-22 00:00:00+00:00,0.0,0.0,0.0,0.0,2.8,12.7,0,3.5277777777777777,0.0,0.0
2026-03-22 01:00:00+00:00,0.0,0.0,0.0,0.0,2.5,11.9,0,3.305555555555556,0.0,0.0
2026-03-22 02:00:00+00:00,0.0,0.0,0.0,0.0,2.2,11.4,0,3.1666666666666665,0.0,0.0
2026-03-22 03:00:00+00:00,0.0,0.0,0.0,0.0,1.9,11.8,0,3.2777777777777777,0.0,0.0
2026-03-22 04:00:00+00:00,0.0,0.0,0.0,0.0,1.8,12.6,0,3.5,0.0,0.0
2026-03-22 05:00:00+00:00,621.9491666666667,0.0,0.0,0.0,1.6,12.5,0,3.4722222222222223,0.0,0.0
2026-03-22 06:00:00+00:00,2984.7025,26.0,150.3,14.0,2.5,14.4,0,4.0,420.6694268202575,1153.8066580069183
2026-03-22 07:00:00+00:00,5237.862222222222,161.0,524.7,52.0,4.9,13.5,5,3.75,2770.268696558074,3910.3633559293035
2026-03-22 08:00:00+00:00,7139.953333333333,328.0,705.7,73.0,7.4,14.1,17,3.9166666666666665,4783.672235855396,5317.285696457775
2026-03-22 09:00:00+00:00,8970.77638888889,476.0,794.4,86.0,9.6,18.8,48,5.222222222222222,6695.03353807582,7189.843689671674
2026-03-22 10:00:00+00:00,9685.476162274208,588.0,820.1,106.0,11.1,21.9,41,6.083333333333333,8174.737410374879,8570.772495449237
2026-03-22 11:00:00+00:00,2483.9572222222223,619.0,773.6,120.0,12.4,22.1,64,6.138888888888889,8620.728735016846,8802.407066566806
2026-03-22 12:00:00+00:00,4433.420833333334,609.0,699.4,148.0,12.9,21.2,37,5.888888888888888,8501.3461856219,8511.192394934444
2026-03-22 13:00:00+00:00,6605.490047659097,583.0,628.1,188.0,13.1,21.0,96,5.833333333333333,8102.4798071988325,8036.871283227752
2026-03-22 14:00:00+00:00,5738.617104527669,324.0,224.6,199.0,12.2,19.5,99,5.416666666666667,4814.853389347352,4648.303516585329
2026-03-22 15:00:00+00:00,4310.698055555556,174.0,62.7,146.0,11.6,14.3,94,3.9722222222222223,2704.691046533493,2620.7035189957505
2026-03-22 16:00:00+00:00,1863.559166666667,156.0,195.2,96.0,10.9,12.1,97,3.3611111111111107,3219.043999342966,2806.575118174855
2026-03-22 17:00:00+00:00,57.99444444444445,51.0,54.1,43.0,9.3,11.6,84,3.222222222222222,11.418319208223277,1214.7580426153045
2026-03-22 18:00:00+00:00,0.0,5.0,20.4,4.0,8.4,11.3,63,3.138888888888889,0.0,0.0
2026-03-22 19:00:00+00:00,0.0,0.0,0.0,0.0,7.1,11.5,40,3.194444444444444,0.0,0.0
2026-03-22 20:00:00+00:00,0.0,0.0,0.0,0.0,6.2,11.5,1,3.194444444444444,0.0,0.0
2026-03-22 21:00:00+00:00,0.0,0.0,0.0,0.0,5.0,10.1,6,2.805555555555556,0.0,0.0
2026-03-22 22:00:00+00:00,0.0,0.0,0.0,0.0,3.8,7.9,0,2.1944444444444446,0.0,0.0
2026-03-22 23:00:00+00:00,0.0,0.0,0.0,0.0,2.2,6.6,0,1.8333333333333333,0.0,0.0
2026-03-23 00:00:00+00:00,0.0,0.0,0.0,0.0,1.6,6.2,0,1.7222222222222223,0.0,0.0
2026-03-23 01:00:00+00:00,0.0,0.0,0.0,0.0,0.9,4.9,0,1.3611111111111112,0.0,0.0
2026-03-23 02:00:00+00:00,0.0,0.0,0.0,0.0,0.1,5.0,0,1.3888888888888888,0.0,0.0
2026-03-23 03:00:00+00:00,0.0,0.0,0.0,0.0,-0.4,4.3,0,1.1944444444444444,0.0,0.0
2026-03-23 04:00:00+00:00,0.0205555555555555,0.0,0.0,0.0,-0.6,3.1,0,0.8611111111111112,0.0,0.0
2026-03-23 05:00:00+00:00,790.6405555555556,0.0,0.0,0.0,-0.9,2.5,0,0.6944444444444444,0.0,0.0
2026-03-23 06:00:00+00:00,3106.4669444444444,29.0,169.0,15.0,-0.2,3.1,2,0.8611111111111112,473.63547254329274,1281.4403075990967
2026-03-23 07:00:00+00:00,5148.342222222223,167.0,533.7,53.0,2.5,2.5,5,0.6944444444444444,2885.8052363966003,4014.9274566677864
2026-03-23 08:00:00+00:00,7102.668333333333,334.0,710.9,73.0,5.2,2.2,46,0.6111111111111112,4873.557433039512,5386.427006485296
2026-03-23 09:00:00+00:00,8646.619166666667,478.0,773.3,94.0,8.2,1.1,95,0.3055555555555556,6729.963539801282,7211.016732104617
2026-03-23 10:00:00+00:00,9828.650833333331,583.0,778.9,121.0,10.4,0.9,65,0.25,8089.262540021775,8466.688710732018
2026-03-23 11:00:00+00:00,9536.006111111112,658.0,833.5,116.0,11.1,1.3,91,0.3611111111111111,9045.785421079698,9267.237634143952
2026-03-23 12:00:00+00:00,8629.965833333334,667.0,808.6,130.0,11.4,1.3,48,0.3611111111111111,9163.074624799927,9197.381481123848
2026-03-23 13:00:00+00:00,7622.749444444445,583.0,699.1,140.0,12.0,2.2,67,0.6111111111111112,8083.5786880390315,7939.056042669927
2026-03-23 14:00:00+00:00,6040.795833333334,282.0,183.6,179.0,11.4,2.2,72,0.6111111111111112,4238.604773426014,4041.077818254757
2026-03-23 15:00:00+00:00,4471.8116666666665,199.0,79.8,163.0,11.0,1.2,100,0.3333333333333333,3098.37167095161,2986.3716608759837
2026-03-23 16:00:00+00:00,2160.081388888889,118.0,48.1,103.0,9.6,5.0,100,1.3888888888888888,2123.868746168106,1986.3797726146263
2026-03-23 17:00:00+00:00,74.41527777777777,50.0,52.6,42.0,7.7,5.4,98,1.5,11.26183273576966,1192.0583420121168
2026-03-23 18:00:00+00:00,0.0,4.0,0.0,4.0,6.8,4.0,88,1.1111111111111112,0.0,0.0
2026-03-23 19:00:00+00:00,0.0,0.0,0.0,0.0,5.2,4.6,9,1.2777777777777777,0.0,0.0
2026-03-23 20:00:00+00:00,0.0,0.0,0.0,0.0,4.1,5.2,2,1.4444444444444444,0.0,0.0
2026-03-23 21:00:00+00:00,0.0,0.0,0.0,0.0,3.2,5.9,13,1.6388888888888888,0.0,0.0
2026-03-23 22:00:00+00:00,0.0,0.0,0.0,0.0,2.1,6.3,39,1.75,0.0,0.0
2026-03-23 23:00:00+00:00,0.0,0.0,0.0,0.0,1.2,3.3,97,0.9166666666666666,0.0,0.0
2026-03-24 00:00:00+00:00,0.0,0.0,0.0,0.0,0.1,5.4,75,1.5,0.0,0.0
2026-03-24 01:00:00+00:00,0.0,0.0,0.0,0.0,-0.9,5.1,100,1.4166666666666663,0.0,0.0
2026-03-24 02:00:00+00:00,0.0,0.0,0.0,0.0,-1.4,2.5,98,0.6944444444444444,0.0,0.0
2026-03-24 03:00:00+00:00,0.0,0.0,0.0,0.0,-1.5,1.8,100,0.5,0.0,0.0
2026-03-24 04:00:00+00:00,0.5827777777777777,0.0,0.0,0.0,-1.6,3.1,100,0.8611111111111112,0.0,0.0
2026-03-24 05:00:00+00:00,480.43,0.0,0.0,0.0,-1.5,2.4,100,0.6666666666666666,0.0,0.0
2026-03-24 06:00:00+00:00,1810.8341666666668,28.0,81.6,21.0,-1.2,0.9,100,0.25,459.00160969471204,849.1218853504349
2026-03-24 07:00:00+00:00,3781.845555555556,132.0,168.6,95.0,1.3,1.0,100,0.2777777777777778,2188.995174465762,2628.0657030071525
2026-03-24 08:00:00+00:00,5837.868055555556,327.0,632.9,91.0,5.9,0.9,100,0.25,4772.877982541765,5212.622100456418
