,real_w,emos_iso_w,emos_perez_w,pvprog_best_w,htw_w,htw_intraday_w
2026-04-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14 00:15:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14 00:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14 00:45:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14 01:15:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14 01:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14 01:45:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14 02:15:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14 02:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14 02:45:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14 03:15:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14 03:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14 03:45:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14 04:15:00+00:00,0.08777777777777777,0.0,0.0,0.0,0.0,0.08777777777777777
2026-04-14 04:30:00+00:00,24.15,0.0,0.0,0.0,0.0,24.15
2026-04-14 04:45:00+00:00,97.90555555555555,1.8557134610920314,175.40167815322317,147.1032708794473,0.0,97.90555555555555
2026-04-14 05:00:00+00:00,181.7188888888889,174.56856696217443,241.35848309284506,202.418943143999,0.0,181.7188888888889
2026-04-14 05:15:00+00:00,223.60333333333332,529.7296734396405,783.8588722627322,657.3951015280174,0.0,223.60333333333332
2026-04-14 05:30:00+00:00,221.30666666666667,882.3305939123322,1380.4010880564517,1157.6942553609233,0.0,221.30666666666667
2026-04-14 05:45:00+00:00,613.2411111111111,1240.2982021258947,1907.6879930461507,1599.911395085933,0.0,613.2411111111111
2026-04-14 06:00:00+00:00,953.5288888888889,1608.8475921592017,2444.31951278066,2049.965537333057,0.0,953.5288888888889
2026-04-14 06:15:00+00:00,908.7122222222222,2042.5252708470612,2749.0474445984,2305.5302273103125,0.0,908.7122222222222
2026-04-14 06:30:00+00:00,1037.74,2453.1385252725845,3039.087665129178,2548.776846019414,0.0,1037.74
2026-04-14 06:45:00+00:00,1198.1577777777777,2845.860009157426,3315.3322261287963,2780.453526160425,0.0,1198.1577777777777
2026-04-14 07:00:00+00:00,976.9588888888889,3224.3201000032304,3578.079487380983,3000.8104916795896,0.0,976.9588888888889
2026-04-14 07:15:00+00:00,908.6522222222222,3329.344221590959,3548.941155476414,2976.3731888198718,0.0,908.6522222222222
2026-04-14 07:30:00+00:00,1710.47,3455.826691686202,3632.0071668756573,3046.037755911778,0.0,1710.47
2026-04-14 07:45:00+00:00,1396.9322222222222,3587.8320818169236,3683.270191840685,3089.0302673114857,0.0,1396.9322222222222
2026-04-14 08:00:00+00:00,1132.5922222222223,3717.75127495855,3724.3421230968156,3123.475863800219,0.0,1132.5922222222223
2026-04-14 08:15:00+00:00,1010.6066666666667,3888.592914006268,3906.0930970381974,3275.9040676452637,0.0,1010.6066666666667
2026-04-14 08:30:00+00:00,1178.9477777777777,4058.092531817323,4071.177626408069,3414.3547056185703,0.0,1178.9477777777777
2026-04-14 08:45:00+00:00,862.42,4226.353659062326,4170.519234361812,3497.6690479799563,0.0,862.42
2026-04-14 09:00:00+00:00,966.9111111111112,4393.441340291947,4304.2817578542345,3609.8510118813247,0.0,966.9111111111112
2026-04-14 09:15:00+00:00,1056.0866666666666,4348.348273154544,4265.2117117662965,3577.084326673639,0.0,1056.0866666666666
2026-04-14 09:30:00+00:00,1394.651111111111,4302.007244615954,4218.719881024248,3538.0932494881936,0.0,1394.651111111111
2026-04-14 09:45:00+00:00,1790.5933333333332,4254.803144387582,4165.705705685771,3493.6321093361935,0.0,1790.5933333333332
2026-04-14 10:00:00+00:00,1386.21,4207.0038856282235,4107.1029251861755,3444.484000920776,0.0,1386.21
2026-04-14 10:15:00+00:00,1175.941111111111,4292.045521598041,4190.54881316653,3514.467157254246,0.0,1175.941111111111
2026-04-14 10:30:00+00:00,792.2933333333333,4376.754877110482,4272.717010378936,3583.3787588961277,0.0,792.2933333333333
2026-04-14 10:45:00+00:00,1198.4622222222222,4461.1195214149775,4353.501314586385,3651.1297377337137,0.0,1198.4622222222222
2026-04-14 11:00:00+00:00,1561.8566666666666,4545.113312378427,4432.799094627592,3717.6340205909764,0.0,1561.8566666666666
2026-04-14 11:15:00+00:00,1800.7366666666667,4378.141228591273,4271.534959520812,3582.387414061764,0.0,1800.7366666666667
2026-04-14 11:30:00+00:00,1401.5522222222223,4209.7910763552945,4108.091356205709,3445.3129635484033,0.0,1401.5522222222223
2026-04-14 11:45:00+00:00,1496.5311111111112,4040.199430138405,3900.2740065071807,3271.023799339573,0.0,1496.5311111111112
2026-04-14 12:00:00+00:00,1541.4622222222222,3869.4655188534493,3734.998384528288,3132.4128986588407,0.0,1541.4622222222222
2026-04-14 12:15:00+00:00,1699.2644444444445,3710.6550755971125,3579.16029848486,3001.7169302624875,0.0,1699.2644444444445
2026-04-14 12:30:00+00:00,1973.9588888888889,3551.4547681654535,3459.017234307077,2900.9571319520487,0.0,1973.9588888888889
2026-04-14 12:45:00+00:00,2370.4355555555558,3391.8909441605624,3294.1143558005206,2762.6588382232962,0.0,2370.4355555555558
2026-04-14 13:00:00+00:00,2413.601111111111,3231.9794267493417,3124.519278665475,2620.425361130655,0.0,2413.601111111111
2026-04-14 13:15:00+00:00,1617.7588888888888,2973.1278006024863,2870.8302734450276,2407.665239066821,0.0,1617.7588888888888
2026-04-14 13:30:00+00:00,1297.0633333333333,2713.008341476639,2620.2293994448355,2197.49502496845,0.0,1297.0633333333333
2026-04-14 13:45:00+00:00,1325.7766666666666,2451.30689366374,2343.1840046253214,1965.1467134292795,0.0,1325.7766666666666
2026-04-14 14:00:00+00:00,1213.838888888889,2187.0961821469928,2103.168162921096,1763.853796797476,0.0,1213.838888888889
2026-04-14 14:15:00+00:00,608.73,2202.236362318304,2117.717397621804,1776.055732581678,0.0,608.73
2026-04-14 14:30:00+00:00,395.83,2217.372456931181,2130.861911635355,1787.0795781108238,0.0,395.83
2026-04-14 14:45:00+00:00,435.12333333333333,2232.5044571826484,2142.521446456529,1796.8580233753507,0.0,435.12333333333333
2026-04-14 15:00:00+00:00,405.3311111111111,2247.6323542697305,2156.2903263187277,1808.4055027689417,0.0,405.3311111111111
2026-04-14 15:15:00+00:00,297.08,2096.2308651760777,2020.2632196533239,1694.3243119306846,0.0,297.08
2026-04-14 15:30:00+00:00,334.6111111111111,1944.4648335860627,1883.8026642860436,1579.8796027813385,0.0,334.6111111111111
2026-04-14 15:45:00+00:00,357.7788888888889,1792.3319120397252,1747.3400026159472,1465.4331271492713,0.0,357.7788888888889
2026-04-14 16:00:00+00:00,388.56888888888886,1643.35910402359,1611.549067927751,1351.5500055125356,0.0,388.56888888888886
2026-04-14 16:15:00+00:00,320.3933333333333,1420.5108566602348,1399.7747755844791,1173.94229149362,0.0,320.3933333333333
2026-04-14 16:30:00+00:00,210.39,1198.5627375100662,1187.9455545667072,996.2885107108673,0.0,210.39
2026-04-14 16:45:00+00:00,139.59444444444443,981.2631433187682,976.3397800025406,818.8221266767539,0.0,139.59444444444443
2026-04-14 17:00:00+00:00,100.42555555555556,774.1077348985634,765.0856978606677,641.6506948130395,0.0,100.42555555555556
2026-04-14 17:15:00+00:00,35.51777777777778,794.8484309275303,654.6632510337093,549.0432392984587,0.0,35.51777777777778
2026-04-14 17:30:00+00:00,0.02,6.440433278813995,486.74517219731916,408.2162021988027,0.0,0.02
2026-04-14 17:45:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14 18:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14 18:15:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14 18:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14 18:45:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14 19:15:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14 19:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14 19:45:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14 20:15:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14 20:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14 20:45:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
