time,p_real_w,ghi,dni,dhi,t_amb,wind_kmh,cloud_cover,wind_ms
2026-03-20 00:00:00+00:00,0.0,0.0,0.0,0.0,1.1,2.7,100,0.75
2026-03-20 01:00:00+00:00,0.0,0.0,0.0,0.0,0.4,2.7,70,0.75
2026-03-20 02:00:00+00:00,0.0,0.0,0.0,0.0,-0.1,3.0,12,0.8333333333333333
2026-03-20 03:00:00+00:00,0.0,0.0,0.0,0.0,-0.2,2.6,2,0.7222222222222222
2026-03-20 04:00:00+00:00,0.0,0.0,0.0,0.0,-0.2,1.7,0,0.4722222222222222
2026-03-20 05:00:00+00:00,474.9166666666667,0.0,0.0,0.0,-0.3,1.3,13,0.3611111111111111
2026-03-20 06:00:00+00:00,2634.4125,26.0,145.6,14.0,-0.1,0.9,2,0.25
2026-03-20 07:00:00+00:00,4792.22,160.0,492.8,55.0,2.2,1.1,5,0.3055555555555556
2026-03-20 08:00:00+00:00,6598.603611111111,323.0,666.5,78.0,5.1,1.1,34,0.3055555555555556
2026-03-20 09:00:00+00:00,8250.309444444445,471.0,754.6,96.0,8.3,1.5,40,0.41666666666666663
2026-03-20 10:00:00+00:00,9127.59,564.0,756.3,116.0,10.9,1.1,50,0.3055555555555556
2026-03-20 11:00:00+00:00,8238.6125,573.0,587.0,193.0,11.6,0.8,97,0.22222222222222224
2026-03-20 12:00:00+00:00,3169.4808333333335,489.0,320.6,278.0,11.8,1.9,88,0.5277777777777778
2026-03-20 13:00:00+00:00,6608.743611111111,409.0,253.2,251.0,11.8,3.2,95,0.888888888888889
2026-03-20 14:00:00+00:00,2835.1469444444447,352.0,233.8,224.0,11.4,3.9,99,1.0833333333333333
2026-03-20 15:00:00+00:00,1463.0202777777777,204.0,64.6,176.0,10.4,3.3,97,0.9166666666666666
2026-03-20 16:00:00+00:00,673.0955555555555,113.0,0.0,113.0,8.4,3.4,99,0.9444444444444444
2026-03-20 17:00:00+00:00,14.984444444444444,34.0,0.0,34.0,6.3,2.6,86,0.7222222222222222
2026-03-20 18:00:00+00:00,0.0,1.0,0.0,1.0,6.8,0.8,77,0.22222222222222224
2026-03-20 19:00:00+00:00,0.0,0.0,0.0,0.0,5.6,5.9,98,1.6388888888888888
2026-03-20 20:00:00+00:00,0.0,0.0,0.0,0.0,5.8,8.8,63,2.4444444444444446
2026-03-20 21:00:00+00:00,0.0,0.0,0.0,0.0,4.0,7.6,98,2.111111111111111
2026-03-20 22:00:00+00:00,0.0,0.0,0.0,0.0,5.7,8.0,100,2.2222222222222223
2026-03-20 23:00:00+00:00,0.0,0.0,0.0,0.0,5.6,7.3,100,2.0277777777777777
2026-03-21 00:00:00+00:00,0.0,0.0,0.0,0.0,6.2,9.0,100,2.5
2026-03-21 01:00:00+00:00,0.0,0.0,0.0,0.0,5.7,5.2,100,1.4444444444444444
2026-03-21 02:00:00+00:00,0.0,0.0,0.0,0.0,5.2,4.7,100,1.3055555555555556
2026-03-21 03:00:00+00:00,0.0,0.0,0.0,0.0,5.3,5.8,100,1.611111111111111
2026-03-21 04:00:00+00:00,0.0,0.0,0.0,0.0,5.4,8.5,99,2.361111111111111
2026-03-21 05:00:00+00:00,137.4361111111111,0.0,0.0,0.0,3.7,6.3,100,1.75
2026-03-21 06:00:00+00:00,1089.9952777777778,14.0,0.0,14.0,5.3,6.7,100,1.8611111111111112
2026-03-21 07:00:00+00:00,2149.6669444444447,48.0,0.0,48.0,5.9,7.2,100,2.0
2026-03-21 08:00:00+00:00,2815.2455555555557,139.0,37.5,125.0,7.6,5.8,100,1.611111111111111
2026-03-21 09:00:00+00:00,5308.1883333333335,140.0,23.9,128.0,8.1,6.5,100,1.8055555555555556
2026-03-21 10:00:00+00:00,5353.315555555556,158.0,10.0,152.0,8.4,8.8,100,2.4444444444444446
2026-03-21 11:00:00+00:00,4202.115555555555,152.0,0.0,152.0,7.4,11.2,95,3.1111111111111107
2026-03-21 12:00:00+00:00,2718.516111111111,358.0,153.8,256.0,9.1,12.6,54,3.5
2026-03-21 13:00:00+00:00,3077.048888888889,454.0,437.3,179.0,9.6,11.6,70,3.222222222222222
2026-03-21 14:00:00+00:00,3968.9155555555553,372.0,353.2,177.0,10.0,12.4,74,3.4444444444444446
2026-03-21 15:00:00+00:00,2965.239722222222,327.0,504.7,106.0,9.8,14.5,50,4.027777777777778
2026-03-21 16:00:00+00:00,1254.6430555555555,199.0,390.8,84.0,8.5,15.5,93,4.305555555555555
2026-03-21 17:00:00+00:00,41.72888888888889,63.0,168.0,41.0,6.9,14.7,99,4.083333333333333
2026-03-21 18:00:00+00:00,0.0,2.0,0.0,2.0,5.8,14.7,100,4.083333333333333
2026-03-21 19:00:00+00:00,0.0,0.0,0.0,0.0,5.8,15.7,9,4.361111111111111
2026-03-21 20:00:00+00:00,0.0,0.0,0.0,0.0,5.2,16.2,8,4.5
2026-03-21 21:00:00+00:00,0.0,0.0,0.0,0.0,4.9,18.4,1,5.111111111111111
2026-03-21 22:00:00+00:00,0.0,0.0,0.0,0.0,5.1,20.3,0,5.638888888888889
2026-03-21 23:00:00+00:00,0.0,0.0,0.0,0.0,5.1,20.5,5,5.694444444444445
2026-03-22 00:00:00+00:00,0.0,0.0,0.0,0.0,5.1,18.7,0,5.194444444444444
2026-03-22 01:00:00+00:00,0.0,0.0,0.0,0.0,5.1,19.7,0,5.472222222222222
2026-03-22 02:00:00+00:00,0.0,0.0,0.0,0.0,5.1,20.9,0,5.805555555555555
2026-03-22 03:00:00+00:00,0.0,0.0,0.0,0.0,5.0,20.4,0,5.666666666666666
2026-03-22 04:00:00+00:00,0.0,0.0,0.0,0.0,4.8,20.2,0,5.611111111111111
2026-03-22 05:00:00+00:00,621.9491666666667,0.0,0.0,0.0,4.5,19.7,0,5.472222222222222
2026-03-22 06:00:00+00:00,2984.7025,33.0,181.1,17.0,5.4,20.9,0,5.805555555555555
2026-03-22 07:00:00+00:00,5237.862222222222,173.0,524.8,55.0,6.9,18.7,5,5.194444444444444
2026-03-22 08:00:00+00:00,7139.953333333333,341.0,698.9,76.0,8.7,21.9,9,6.083333333333333
2026-03-22 09:00:00+00:00,8970.77638888889,490.0,787.0,90.0,10.1,25.1,20,6.972222222222222
2026-03-22 10:00:00+00:00,9685.476162274208,603.0,832.1,101.0,11.0,25.8,30,7.166666666666667
2026-03-22 11:00:00+00:00,2483.9572222222223,675.0,871.0,102.0,11.8,25.9,42,7.194444444444444
2026-03-22 12:00:00+00:00,4433.420833333334,635.0,739.3,141.0,11.9,20.5,65,5.694444444444445
2026-03-22 13:00:00+00:00,6605.490047659097,505.0,475.0,204.0,11.8,20.0,38,5.555555555555555
2026-03-22 14:00:00+00:00,5738.617104527669,478.0,574.9,158.0,12.1,19.0,77,5.277777777777778
2026-03-22 15:00:00+00:00,4310.698055555556,383.0,603.6,116.0,11.6,19.4,18,5.388888888888888
2026-03-22 16:00:00+00:00,1863.5591666666667,255.0,633.0,66.0,10.7,16.6,9,4.611111111111112
2026-03-22 17:00:00+00:00,57.99444444444445,91.0,392.0,38.0,8.9,15.7,5,4.361111111111111
2026-03-22 18:00:00+00:00,0.0,3.0,23.7,2.0,7.9,16.7,5,4.638888888888888
2026-03-22 19:00:00+00:00,0.0,0.0,0.0,0.0,7.6,17.8,0,4.944444444444445
2026-03-22 20:00:00+00:00,0.0,0.0,0.0,0.0,7.1,18.6,0,5.166666666666667
2026-03-22 21:00:00+00:00,0.0,0.0,0.0,0.0,6.2,16.0,0,4.444444444444445
2026-03-22 22:00:00+00:00,0.0,0.0,0.0,0.0,5.4,13.9,0,3.861111111111111
2026-03-22 23:00:00+00:00,0.0,0.0,0.0,0.0,4.7,12.2,0,3.3888888888888884
2026-03-23 00:00:00+00:00,0.0,0.0,0.0,0.0,4.2,12.0,0,3.333333333333333
2026-03-23 01:00:00+00:00,0.0,0.0,0.0,0.0,4.0,10.9,0,3.0277777777777777
2026-03-23 02:00:00+00:00,0.0,0.0,0.0,0.0,3.4,9.5,0,2.638888888888889
2026-03-23 03:00:00+00:00,0.0,0.0,0.0,0.0,2.8,8.2,0,2.2777777777777777
2026-03-23 04:00:00+00:00,0.020555555555555556,0.0,0.0,0.0,1.6,6.8,0,1.8888888888888888
2026-03-23 05:00:00+00:00,790.6405555555556,0.0,0.0,0.0,1.1,5.9,10,1.6388888888888888
2026-03-23 06:00:00+00:00,3106.4669444444444,36.0,186.2,19.0,2.8,5.7,77,1.5833333333333333
2026-03-23 07:00:00+00:00,5148.3422222222225,175.0,494.2,61.0,4.8,6.2,88,1.7222222222222223
2026-03-23 08:00:00+00:00,7102.668333333333,342.0,672.9,83.0,6.7,6.8,87,1.8888888888888888
2026-03-23 09:00:00+00:00,8646.619166666667,495.0,788.2,90.0,8.4,7.7,79,2.138888888888889
2026-03-23 10:00:00+00:00,9828.650833333333,608.0,839.6,97.0,9.6,6.9,55,1.9166666666666667
2026-03-23 11:00:00+00:00,9536.006111111112,672.0,856.7,104.0,10.8,5.4,66,1.5
2026-03-23 12:00:00+00:00,8629.965833333334,682.0,858.6,104.0,12.0,5.5,74,1.5277777777777777
2026-03-23 13:00:00+00:00,7622.749444444445,620.0,770.7,128.0,12.9,5.4,56,1.5
2026-03-23 14:00:00+00:00,6040.795833333334,507.0,691.4,119.0,13.1,5.3,89,1.472222222222222
2026-03-23 15:00:00+00:00,4471.8116666666665,359.0,543.9,116.0,12.6,7.1,100,1.972222222222222
2026-03-23 16:00:00+00:00,2160.081388888889,176.0,264.1,96.0,11.6,6.3,100,1.75
2026-03-23 17:00:00+00:00,74.41527777777777,67.0,164.9,44.0,9.7,8.4,88,2.3333333333333335
2026-03-23 18:00:00+00:00,0.0,3.0,0.0,3.0,7.4,5.6,72,1.5555555555555554
2026-03-23 19:00:00+00:00,0.0,0.0,0.0,0.0,6.6,3.2,29,0.888888888888889
2026-03-23 20:00:00+00:00,0.0,0.0,0.0,0.0,5.7,3.8,39,1.0555555555555556
2026-03-23 21:00:00+00:00,0.0,0.0,0.0,0.0,4.7,4.2,2,1.1666666666666667
2026-03-23 22:00:00+00:00,0.0,0.0,0.0,0.0,3.8,2.1,5,0.5833333333333334
2026-03-23 23:00:00+00:00,0.0,0.0,0.0,0.0,2.5,3.3,19,0.9166666666666666
2026-03-24 00:00:00+00:00,0.0,0.0,0.0,0.0,1.4,3.5,9,0.9722222222222222
2026-03-24 01:00:00+00:00,0.0,0.0,0.0,0.0,1.0,1.5,0,0.41666666666666663
2026-03-24 02:00:00+00:00,0.0,0.0,0.0,0.0,0.2,3.6,12,1.0
2026-03-24 03:00:00+00:00,0.0,0.0,0.0,0.0,-0.1,2.9,88,0.8055555555555555
2026-03-24 04:00:00+00:00,0.5827777777777777,0.0,0.0,0.0,0.2,2.3,100,0.6388888888888888
2026-03-24 05:00:00+00:00,480.43,0.0,0.0,0.0,-0.2,4.7,99,1.3055555555555556
2026-03-24 06:00:00+00:00,1810.8341666666668,35.0,127.3,23.0,0.4,6.8,100,1.8888888888888888
2026-03-24 07:00:00+00:00,3781.8455555555556,159.0,308.7,86.0,3.1,1.5,100,0.41666666666666663
2026-03-24 08:00:00+00:00,5837.868055555556,311.0,468.5,128.0,5.8,2.2,100,0.6111111111111112
2026-03-24 09:00:00+00:00,6588.701944444444,430.0,458.3,192.0,8.0,2.4,99,0.6666666666666666
2026-03-24 10:00:00+00:00,6887.777777777777,577.0,682.4,158.0,10.2,3.2,80,0.888888888888889
2026-03-24 11:00:00+00:00,8956.717777777778,653.0,749.8,152.0,11.9,3.6,97,1.0
2026-03-24 12:00:00+00:00,8450.51638888889,697.0,881.9,99.0,12.6,3.6,96,1.0
2026-03-24 13:00:00+00:00,6215.340883668904,603.0,744.8,124.0,13.4,6.1,75,1.6944444444444442
2026-03-24 14:00:00+00:00,5349.334722222222,521.0,719.4,114.0,13.4,7.5,98,2.0833333333333335
2026-03-24 15:00:00+00:00,4242.496388888889,378.0,607.3,104.0,13.1,9.0,80,2.5
2026-03-24 16:00:00+00:00,1532.3752777777777,252.0,582.7,73.0,12.4,5.2,68,1.4444444444444444
2026-03-24 17:00:00+00:00,50.88527777777778,94.0,368.7,41.0,10.4,1.1,57,0.3055555555555556
2026-03-24 18:00:00+00:00,0.0,4.0,21.5,3.0,7.4,5.5,49,1.5277777777777777
2026-03-24 19:00:00+00:00,0.0,0.0,0.0,0.0,6.2,5.0,40,1.3888888888888888
2026-03-24 20:00:00+00:00,0.0,0.0,0.0,0.0,5.4,3.6,100,1.0
2026-03-24 21:00:00+00:00,0.0,0.0,0.0,0.0,4.3,5.6,97,1.5555555555555554
2026-03-24 22:00:00+00:00,0.0,0.0,0.0,0.0,4.0,7.2,68,2.0
2026-03-24 23:00:00+00:00,0.0,0.0,0.0,0.0,3.3,6.6,93,1.8333333333333333
2026-03-25 00:00:00+00:00,0.0,0.0,0.0,0.0,3.9,7.9,100,2.1944444444444446
2026-03-25 01:00:00+00:00,0.0,0.0,0.0,0.0,3.0,6.3,100,1.75
2026-03-25 02:00:00+00:00,0.0,0.0,0.0,0.0,3.5,2.7,100,0.75
2026-03-25 03:00:00+00:00,0.0,0.0,0.0,0.0,3.0,4.2,100,1.1666666666666667
2026-03-25 04:00:00+00:00,0.0,0.0,0.0,0.0,2.0,5.5,100,1.5277777777777777
2026-03-25 05:00:00+00:00,369.33194444444445,0.0,0.0,0.0,1.9,5.1,83,1.4166666666666665
2026-03-25 06:00:00+00:00,2807.516666666667,40.0,144.0,26.0,3.0,8.8,83,2.4444444444444446
2026-03-25 07:00:00+00:00,5040.1211111111115,186.0,507.6,63.0,5.7,7.4,78,2.055555555555556
2026-03-25 08:00:00+00:00,6202.295277777778,344.0,623.3,97.0,8.6,3.4,95,0.9444444444444444
2026-03-25 09:00:00+00:00,7982.985833333333,480.0,651.6,138.0,11.4,5.9,72,1.6388888888888888
2026-03-25 10:00:00+00:00,8672.998055555556,617.0,831.5,102.0,13.9,12.4,98,3.4444444444444446
2026-03-25 11:00:00+00:00,8734.347222222223,627.0,644.6,193.0,15.1,18.4,93,5.111111111111111
2026-03-25 12:00:00+00:00,822.5433333333333,617.0,597.4,209.0,15.6,21.7,100,6.027777777777778
2026-03-25 13:00:00+00:00,845.2741666666667,515.0,381.3,268.0,15.4,21.9,99,6.083333333333333
2026-03-25 14:00:00+00:00,4902.412222222222,315.0,126.3,243.0,14.2,17.3,100,4.805555555555555
2026-03-25 15:00:00+00:00,761.0580555555556,223.0,76.8,188.0,13.7,16.1,100,4.472222222222222
